Date,Category,What I Learned,Source,Tags
2026-03-18,Frontend,"CSS :has() selector can be used as a parent selector — e.g. form:has(input:invalid) lets you style a form based on its children's state without JavaScript. Browser support is now above 90%.","MDN Web Docs","CSS, Browser APIs"
2026-03-17,Backend,"PostgreSQL EXPLAIN ANALYZE shows the actual vs estimated row counts. When estimates are wildly off it usually means VACUUM ANALYZE hasn't been run recently and the planner is working with stale statistics.","pganalyze blog","PostgreSQL, Performance, Databases"
2026-03-16,DevOps,"GitHub Actions cache key can use hashFiles() to automatically invalidate the cache when package-lock.json changes. Pattern: cache-${{ hashFiles('**/package-lock.json') }}","GitHub Actions docs","GitHub Actions, CI/CD, Caching"
2026-03-14,CS,"Bloom filters use multiple hash functions and a bit array to test set membership. They can have false positives but never false negatives. Used by Redis, Cassandra, and Chrome's safe browsing.","Wikipedia + Hussein Nasser YouTube","Data Structures, Probabilistic, Distributed Systems"
2026-03-13,Frontend,"React useCallback and useMemo don't make your app faster by default — they add overhead from the memoization itself. Only worth it when passing stable references to child components that use React.memo.","React docs beta","React, Performance, Hooks"
2026-03-11,Tools,"VS Code has a built-in REST client via the .http file extension with the REST Client extension. Lets you define and run API requests directly in the editor without switching to Postman.","Fireship YouTube","VS Code, Developer Tools, API"
2026-03-10,Backend,"Node.js streams use backpressure to prevent fast producers from overwhelming slow consumers. The writable.write() return value tells you if the buffer is full — if false stop writing until the 'drain' event fires.","Node.js official docs","Node.js, Streams, Performance"
2026-03-08,DevOps,"Docker multi-stage builds can dramatically reduce final image size. Build in a node:20 image then copy only the dist folder into a node:20-alpine image. Can reduce image size from 1.2GB to under 200MB.","Docker docs","Docker, DevOps, Optimization"
2026-03-06,CS,"The CAP theorem says distributed systems can only guarantee two of: Consistency, Availability, Partition tolerance. Since partitions always happen in practice the real choice is between CP and AP systems.","DDIA book Chapter 9","Distributed Systems, CAP Theorem, CS Fundamentals"
2026-03-05,Frontend,"Intersection Observer API is far more performant than scroll event listeners for lazy loading. It runs off the main thread and batches observations. The scroll listener approach can cause layout thrashing.","web.dev","JavaScript, Web APIs, Performance"
